AsrClassCode,AsrLandUse1,AsrLanduse2,ColCityBlock,ColParcelId,ColParcel,HANDLE,HighAddrNum,HighAddrSuf,LowAddrNum,LowAddrSuf,NBRHD,ParcelId,SITEADDR,StdUnitNum,StName,StPreDir,StSufDir,StType,ZIP
100,1140,0,137900,13790001900,1900,11379000190,2702,,2700,,24,13799190000,"2700 ACCOMAC ST",,ACCOMAC,,,ST,63104
100,1110,0,138400,13840001300,1300,11384000130,2228,,2228,,23,13849130000,"2228 INDIANA AV",,INDIANA,,,AV,63104
100,1110,0,155100,15510000600,600,11551000060,1948,,1948,,18,15519060000,"1948 CHEROKEE ST",,CHEROKEE,,,ST,63118
100,1120,0,155100,15510000800,800,11551000080,1940,,1940,,18,15519080000,"1940 CHEROKEE ST",,CHEROKEE,,,ST,63118
100,1110,0,139500,13950000600,600,11395000060,2423,,2423,,22,13959060000,"2423 SALENA ST",,SALENA,,,ST,63104
100,1110,0,139500,13950000700,700,11395000070,2425,,2425,,22,13959070000,"2425 SALENA ST",,SALENA,,,ST,63104
100,1111,0,139500,13950000800,800,11395000080,2005,,2005,,22,13959080000,"2005 VICTOR ST",,VICTOR,,,ST,63104
100,1110,0,140300,14030004300,4300,11403000430,2215,,2215,,22,14039430000,"2215 SIDNEY ST",,SIDNEY,,,ST,63104
100,1120,0,140300,14030004400,4400,11403000440,2217,,2217,,22,14039440000,"2217 SIDNEY ST",,SIDNEY,,,ST,63104
100,1140,0,140300,14030004500,4500,11403000450,2227,,2225,,22,14039450000,"2225 SIDNEY ST",,SIDNEY,,,ST,63104
100,1010,0,140300,14030004600,4600,11403000460,2229,,2229,,22,14039460000,"2229 SIDNEY ST",,SIDNEY,,,ST,63104
100,1120,0,140300,14030004700,4700,11403000470,2231,,2231,,22,14039470000,"2231 SIDNEY ST",,SIDNEY,,,ST,63104
100,1110,0,141500,14150002150,2150,11415000215,2808,,2808,,22,14159215000,"2808 SALENA ST",,SALENA,,,ST,63118
100,1110,0,141500,14150002160,2160,11415000216,2804,,2804,,22,14159216000,"2804 SALENA ST",,SALENA,,,ST,63118
100,1120,0,142600,14260000300,300,11426000030,2838,,2838,,24,14269030000,"2838 NEBRASKA AV",,NEBRASKA,,,AV,63118
100,1110,0,143200,14320001850,1850,11432000185,3132,,3132,,25,14329185000,"3132 SHENANDOAH AV",,SHENANDOAH,,,AV,63104
200,5000,0,155700,15570001100,1100,11557000110,3502,,3502,,18,15579110000,"3502 INDIANA AV",,INDIANA,,,AV,63118
100,1110,0,155700,15570001400,1400,11557000140,3507,,3507,,18,15579140000,"3507 MISSOURI AV",,MISSOURI,,,AV,63118
100,1120,0,145500,14550001150,1150,11455000115,3008,,3008,,25,14559115000,"3008 S COMPTON AV",,COMPTON,S,,AV,63118
49,1010,0,123900,12390000700,700,11239000070,3934,,3932,,65,12399070000,"3932 N 21ST ST",,21ST,N,,ST,63107
49,1010,0,117306,11730601000,1000,11173060100,1903,,1901,,65,11739095000,"1901 DESTREHAN ST",,DESTREHAN,,,ST,63107
100,1120,0,118403,11840301700,1700,11184030170,3419,,3419,,65,11849100000,"3419 N 14TH ST",,14TH,N,,ST,63107
200,3000,0,120100,12010000400,400,11201000040,200,,200,,64,12019040000,"200 DESTREHAN ST",,DESTREHAN,,,ST,63147
200,3000,0,120100,12010000500,500,11201000050,200,,200,,64,12019050000,"200 N 2ND ST",,2ND,N,,ST,63147
